Date;Season;Round;Team 1;Country Team 1;Goals Team 1;Goal Team 2;Team 2;Country Team 2
04/09/1955;1955/1956;Round 1;Sporting CP;Portugal;3;3;Partizan Belgrade;Serbia
07/09/1955;1955/1956;Round 1;Budapesti Voros Lobogo;Hungary;6;3;RSC Anderlecht;Belgium
08/09/1955;1955/1956;Round 1;Servette Geneve;Switzerland;0;2;Real Madrid CF;Spain
14/09/1955;1955/1956;Round 1;Rot-Weiss Essen;Germany;0;4;Hibernian FC;Scotland
20/09/1955;1955/1956;Round 1;Djurgardens IF;Sweden;0;0;Gwardia Warszawa;Poland
21/09/1955;1955/1956;Round 1;Rapid Wien;Austria;6;1;PSV Eindhoven;Netherlands
21/09/1955;1955/1956;Round 1;Aarhus GF;Denmark;0;2;Stade Reims;France
01/11/1955;1955/1956;Round 1;AC Milan;Italy;3;4;1. FC Saarbrücken;Germany
12/10/1955;1955/1956;Round 1;Partizan Belgrade;Serbia;5;2;Sporting CP;Portugal
12/10/1955;1955/1956;Round 1;Hibernian FC;Scotland;1;1;Rot-Weiss Essen;Germany
12/10/1955;1955/1956;Round 1;Real Madrid CF;Spain;5;0;Servette Geneve;Switzerland
12/10/1955;1955/1956;Round 1;Gwardia Warszawa;Poland;1;4;Djurgardens IF;Sweden
19/10/1955;1955/1956;Round 1;RSC Anderlecht;Belgium;1;4;Budapesti Voros Lobogo;Hungary
26/10/1955;1955/1956;Round 1;Stade Reims;France;2;2;Aarhus GF;Denmark
01/11/1955;1955/1956;Round 1;PSV Eindhoven;Netherlands;1;0;Rapid Wien;Austria
23/11/1955;1955/1956;Round 1;1. FC Saarbrücken;Germany;1;4;AC Milan;Italy
23/11/1955;1955/1956;Quarterfinals;Djurgardens IF;Sweden;1;3;Hibernian FC;Scotland
14/12/1955;1955/1956;Quarterfinals;Stade Reims;France;4;2;Budapesti Voros Lobogo;Hungary
25/12/1955;1955/1956;Quarterfinals;Real Madrid CF;Spain;4;0;Partizan Belgrade;Serbia
18/01/1956;1955/1956;Quarterfinals;Rapid Wien;Austria;1;1;AC Milan;Italy
28/11/1955;1955/1956;Quarterfinals;Hibernian FC;Scotland;1;0;Djurgardens IF;Sweden
28/12/1955;1955/1956;Quarterfinals;Budapesti Voros Lobogo;Hungary;4;4;Stade Reims;France
29/01/1956;1955/1956;Quarterfinals;Partizan Belgrade;Serbia;3;0;Real Madrid CF;Spain
12/02/1956;1955/1956;Quarterfinals;AC Milan;Italy;7;2;Rapid Wien;Austria
04/04/1956;1955/1956;Semifinals;Stade Reims;France;2;0;Hibernian FC;Scotland
19/04/1956;1955/1956;Semifinals;Real Madrid CF;Spain;4;2;AC Milan;Italy
18/04/1956;1955/1956;Semifinals;Hibernian FC;Scotland;0;1;Stade Reims;France
01/05/1956;1955/1956;Semifinals;AC Milan;Italy;2;1;Real Madrid CF;Spain
13/06/1956;1955/1956;Final;Real Madrid CF;Spain;4;3;Stade Reims;France
01/08/1956;1956/1957;Round 1;Borussia Dortmund;Germany;4;3;Spora Luxemburg;Luxembourg
26/08/1956;1956/1957;Round 1;Dinamo Bucuresti;Romania;3;1;Galatasaray İstanbul AŞ;Turkey
12/09/1956;1956/1957;Round 1;RSC Anderlecht;Belgium;0;2;Manchester United FC;England
12/09/1956;1956/1957;Round 1;SK Slovan Bratislava;Slovakia;4;0;Legia Warsaw;Poland
19/09/1956;1956/1957;Round 1;Aarhus GF;Denmark;1;1;OGC Nice;France
20/09/1956;1956/1957;Round 1;FC Porto;Portugal;1;2;Athletic Bilbao;Spain
06/09/1956;1956/1957;Round 1;Spora Luxemburg;Luxembourg;2;1;Borussia Dortmund;Germany
19/09/1956;1956/1957;Round 1;Legia Warsaw;Poland;2;0;SK Slovan Bratislava;Slovakia
26/09/1956;1956/1957;Round 1;Athletic Bilbao;Spain;3;2;FC Porto;Portugal
26/09/1956;1956/1957;Round 1;Manchester United FC;England;10;0;RSC Anderlecht;Belgium
27/09/1956;1956/1957;Round 1;OGC Nice;France;5;1;Aarhus GF;Denmark
30/09/1956;1956/1957;Round 1;Galatasaray İstanbul AŞ;Turkey;2;1;Dinamo Bucuresti;Romania
17/10/1956;1956/1957;Round 16;Manchester United FC;England;3;2;Borussia Dortmund;Germany
17/10/1956;1956/1957;Round 16;CDNA Sofia;Bulgaria;8;1;Dinamo Bucuresti;Romania
24/10/1956;1956/1957;Round 16;SK Slovan Bratislava;Slovakia;1;0;Grasshoppers Zurich;Switzerland
24/10/1956;1956/1957;Round 16;Rangers FC;Scotland;2;1;OGC Nice;France
01/11/1956;1956/1957;Round 16;Real Madrid CF;Spain;4;2;Rapid Wien;Austria
01/11/1956;1956/1957;Round 16;Rapid JC Heerlen;Netherlands;3;4;Crvena Zvezda;Serbia
21/11/1956;1956/1957;Round 16;ACF Fiorentina;Italy;1;1;IFK Norrkoping;Sweden
22/11/1956;1956/1957;Round 16;Athletic Bilbao;Spain;3;2;Budapest Honved SE;Hungary
14/11/1956;1956/1957;Round 16;OGC Nice;France;2;1;Rangers FC;Scotland
14/11/1956;1956/1957;Round 16;Rapid Wien;Austria;3;1;Real Madrid CF;Spain
14/11/1956;1956/1957;Round 16;Crvena Zvezda;Serbia;2;0;Rapid JC Heerlen;Netherlands
21/11/1956;1956/1957;Round 16;Dinamo Bucuresti;Romania;3;2;CDNA Sofia;Bulgaria
21/11/1956;1956/1957;Round 16;Borussia Dortmund;Germany;0;0;Manchester United FC;England
28/11/1956;1956/1957;Round 16;IFK Norrkoping;Sweden;0;1;ACF Fiorentina;Italy
12/12/1956;1956/1957;Round 16;Grasshoppers Zurich;Switzerland;2;0;SK Slovan Bratislava;Slovakia
20/12/1956;1956/1957;Round 16;Budapest Honved SE;Hungary;3;3;Athletic Bilbao;Spain
16/01/1957;1956/1957;Quarterfinals;Athletic Bilbao;Spain;5;3;Manchester United FC;England
06/02/1957;1956/1957;Quarterfinals;ACF Fiorentina;Italy;3;1;Grasshoppers Zurich;Switzerland
14/02/1957;1956/1957;Quarterfinals;Real Madrid CF;Spain;3;0;OGC Nice;France
17/02/1957;1956/1957;Quarterfinals;Crvena Zvezda;Serbia;3;1;CDNA Sofia;Bulgaria
06/02/1957;1956/1957;Quarterfinals;Manchester United FC;England;3;0;Athletic Bilbao;Spain
24/02/1957;1956/1957;Quarterfinals;CDNA Sofia;Bulgaria;2;1;Crvena Zvezda;Serbia
27/02/1957;1956/1957;Quarterfinals;Grasshoppers Zurich;Switzerland;2;2;ACF Fiorentina;Italy
14/03/1957;1956/1957;Quarterfinals;OGC Nice;France;2;3;Real Madrid CF;Spain
03/04/1957;1956/1957;Semifinals;Crvena Zvezda;Serbia;0;1;ACF Fiorentina;Italy
11/04/1957;1956/1957;Semifinals;Real Madrid CF;Spain;3;1;Manchester United FC;England
18/04/1957;1956/1957;Semifinals;ACF Fiorentina;Italy;0;0;Crvena Zvezda;Serbia
25/04/1957;1956/1957;Semifinals;Manchester United FC;England;2;2;Real Madrid CF;Spain
16/09/1956;1956/1957;Round 1;Borussia Dortmund;Germany;7;0;Spora Luxemburg;Luxembourg
28/11/1956;1956/1957;Round 16;OGC Nice;France;3;1;Rangers FC;Scotland
13/12/1956;1956/1957;Round 16;Real Madrid CF;Spain;2;0;Rapid Wien;Austria
30/05/1957;1956/1957;Final;Real Madrid CF;Spain;2;0;ACF Fiorentina;Italy
04/09/1957;1957/1958;Round 1;Rangers FC;Scotland;3;1;AS Saint-Etienne;France
04/09/1957;1957/1958;Round 1;CDNA Sofia;Bulgaria;2;1;Budapesti Vasas;Hungary
05/09/1957;1957/1958;Round 1;Stade Dudelange;Luxembourg;0;5;Crvena Zvezda;Serbia
11/09/1957;1957/1958;Round 1;Gwardia Warszawa;Poland;3;1;SC Wismut Karl-Marx-Stadt;Germany
11/09/1957;1957/1958;Round 1;Aarhus GF;Denmark;0;0;Glenavon FC;North Ireland
19/09/1957;1957/1958;Round 1;Sevilla FC;Spain;3;1;SL Benfica;Portugal
25/09/1957;1957/1958;Round 1;Shamrock Rovers;Ireland;0;6;Manchester United FC;England
02/10/1957;1957/1958;Round 1;AC Milan;Italy;4;1;Rapid Wien;Austria
25/09/1957;1957/1958;Round 1;AS Saint-Etienne;France;2;1;Rangers FC;Scotland
25/09/1957;1957/1958;Round 1;Glenavon FC;North Ireland;0;3;Aarhus GF;Denmark
26/09/1957;1957/1958;Round 1;SL Benfica;Portugal;0;0;Sevilla FC;Spain
02/10/1957;1957/1958;Round 1;Crvena Zvezda;Serbia;9;1;Stade Dudelange;Luxembourg
02/10/1957;1957/1958;Round 1;Manchester United FC;England;3;2;Shamrock Rovers;Ireland
03/10/1957;1957/1958;Round 1;Budapesti Vasas;Hungary;6;1;CDNA Sofia;Bulgaria
09/10/1957;1957/1958;Round 1;Rapid Wien;Austria;5;2;AC Milan;Italy
13/10/1957;1957/1958;Round 1;SC Wismut Karl-Marx-Stadt;Germany;3;1;Gwardia Warszawa;Poland
31/10/1957;1957/1958;Round 16;Royal Antwerp FC;Belgium;1;2;Real Madrid CF;Spain
02/11/1957;1957/1958;Round 16;IFK Norrkoping;Sweden;2;2;Crvena Zvezda;Serbia
20/11/1957;1957/1958;Round 16;Manchester United FC;England;3;0;Dukla Praha;Czech Republic
20/11/1957;1957/1958;Round 16;BSC Young Boys;Switzerland;1;1;Budapesti Vasas;Hungary
20/11/1957;1957/1958;Round 16;SC Wismut Karl-Marx-Stadt;Germany;1;3;AFC Ajax;Netherlands
27/11/1957;1957/1958;Round 16;Sevilla FC;Spain;4;0;Aarhus GF;Denmark
27/11/1957;1957/1958;Round 16;Rangers FC;Scotland;1;4;AC Milan;Italy
27/11/1957;1957/1958;Round 16;Borussia Dortmund;Germany;4;2;CCA Bucuresti;Romania
23/11/1957;1957/1958;Round 16;Crvena Zvezda;Serbia;2;1;IFK Norrkoping;Sweden
27/11/1957;1957/1958;Round 16;AFC Ajax;Netherlands;1;0;SC Wismut Karl-Marx-Stadt;Germany
28/11/1957;1957/1958;Round 16;Real Madrid CF;Spain;6;0;Royal Antwerp FC;Belgium
30/11/1957;1957/1958;Round 16;Budapesti Vasas;Hungary;2;1;BSC Young Boys;Switzerland
04/12/1957;1957/1958;Round 16;Dukla Praha;Czech Republic;1;0;Manchester United FC;England
04/12/1957;1957/1958;Round 16;Aarhus GF;Denmark;2;0;Sevilla FC;Spain
08/12/1957;1957/1958;Round 16;CCA Bucuresti;Romania;3;1;Borussia Dortmund;Germany
08/12/1957;1957/1958;Round 16;AC Milan;Italy;2;0;Rangers FC;Scotland
14/01/1958;1957/1958;Quarterfinals;Manchester United FC;England;2;1;Crvena Zvezda;Serbia
23/01/1958;1957/1958;Quarterfinals;Real Madrid CF;Spain;8;0;Sevilla FC;Spain
05/02/1958;1957/1958;Quarterfinals;AFC Ajax;Netherlands;2;2;Budapesti Vasas;Hungary
12/02/1958;1957/1958;Quarterfinals;Borussia Dortmund;Germany;1;1;AC Milan;Italy
05/02/1958;1957/1958;Quarterfinals;Crvena Zvezda;Serbia;3;3;Manchester United FC;England
23/02/1958;1957/1958;Quarterfinals;Sevilla FC;Spain;2;2;Real Madrid CF;Spain
26/02/1958;1957/1958;Quarterfinals;AC Milan;Italy;4;1;Borussia Dortmund;Germany
26/02/1958;1957/1958;Quarterfinals;Budapesti Vasas;Hungary;4;0;AFC Ajax;Netherlands
02/04/1958;1957/1958;Semifinals;Real Madrid CF;Spain;4;0;Budapesti Vasas;Hungary
08/05/1958;1957/1958;Semifinals;Manchester United FC;England;2;1;AC Milan;Italy
14/04/1958;1957/1958;Semifinals;Budapesti Vasas;Hungary;2;0;Real Madrid CF;Spain
14/05/1958;1957/1958;Semifinals;AC Milan;Italy;4;0;Manchester United FC;England
15/10/1957;1957/1958;Round 1;SC Wismut Karl-Marx-Stadt;Germany;1;1;Gwardia Warszawa;Poland
30/10/1957;1957/1958;Round 1;AC Milan;Italy;4;2;Rapid Wien;Austria
29/12/1957;1957/1958;Round 16;Borussia Dortmund;Germany;3;1;CCA Bucuresti;Romania
28/05/1958;1957/1958;Final;Real Madrid CF;Spain;2;2;AC Milan;Italy
26/08/1958;1958/1959;Round 1;KB Kobenhavn;Denmark;3;0;FC Schalke 04;Germany
03/09/1958;1958/1959;Round 1;Standard Liege;Belgium;5;1;Heart of Midlothian;Scotland
10/09/1958;1958/1959;Round 1;Dinamo Zagreb;Croatia;2;2;Dukla Praha;Czech Republic
14/09/1958;1958/1959;Round 1;Ards;North Ireland;1;4;Stade Reims;France
14/09/1958;1958/1959;Round 1;Jeunesse Esch;Luxembourg;1;2;IFK Goteborg;Sweden
17/09/1958;1958/1959;Round 1;Polonia Bytom;Poland;0;3;MTK;Hungary
17/09/1958;1958/1959;Round 1;SC Wismut Karl-Marx-Stadt;Germany;4;2;Petrolul Ploiesti;Romania
17/09/1958;1958/1959;Round 1;Atletico Madrid;Spain;8;0;Drumcondra Dublin;Ireland
24/09/1958;1958/1959;Round 1;Juventus;Italy;3;1;Wiener Sport-Club;Austria
01/10/1958;1958/1959;Round 1;DOS Utrecht;Netherlands;3;4;Sporting CP;Portugal
09/09/1958;1958/1959;Round 1;Heart of Midlothian;Scotland;2;1;Standard Liege;Belgium
17/09/1958;1958/1959;Round 1;FC Schalke 04;Germany;5;2;KB Kobenhavn;Denmark
28/09/1958;1958/1959;Round 1;Petrolul Ploiesti;Romania;2;0;SC Wismut Karl-Marx-Stadt;Germany
30/09/1958;1958/1959;Round 1;IFK Goteborg;Sweden;0;1;Jeunesse Esch;Luxembourg
30/09/1958;1958/1959;Round 1;Stade Reims;France;6;2;Ards;North Ireland
01/10/1958;1958/1959;Round 1;Drumcondra Dublin;Ireland;1;5;Atletico Madrid;Spain
01/10/1958;1958/1959;Round 1;Dukla Praha;Czech Republic;2;1;Dinamo Zagreb;Croatia
01/10/1958;1958/1959;Round 1;Wiener Sport-Club;Austria;7;0;Juventus;Italy
01/10/1958;1958/1959;Round 1;MTK;Hungary;3;0;Polonia Bytom;Poland
08/10/1958;1958/1959;Round 1;Sporting CP;Portugal;2;1;DOS Utrecht;Netherlands
29/10/1958;1958/1959;Round 16;Sporting CP;Portugal;2;3;Standard Liege;Belgium
05/11/1958;1958/1959;Round 16;Atletico Madrid;Spain;2;1;CDNA Sofia;Bulgaria
05/11/1958;1958/1959;Round 16;MTK;Hungary;1;2;BSC Young Boys;Switzerland
05/11/1958;1958/1959;Round 16;Wiener Sport-Club;Austria;3;1;Dukla Praha;Czech Republic
09/11/1958;1958/1959;Round 16;IFK Goteborg;Sweden;2;2;SC Wismut Karl-Marx-Stadt;Germany
12/11/1958;1958/1959;Round 16;Wolverhampton Wanderers FC;England;2;2;FC Schalke 04;Germany
13/11/1958;1958/1959;Round 16;Real Madrid CF;Spain;2;0;Beşiktaş İstanbul JK;Turkey
26/11/1958;1958/1959;Round 16;Stade Reims;France;4;0;HPS Helsinki;Finland
12/11/1958;1958/1959;Round 16;Standard Liege;Belgium;3;0;Sporting CP;Portugal
15/11/1958;1958/1959;Round 16;SC Wismut Karl-Marx-Stadt;Germany;4;0;IFK Goteborg;Sweden
18/11/1958;1958/1959;Round 16;FC Schalke 04;Germany;2;1;Wolverhampton Wanderers FC;England
27/11/1958;1958/1959;Round 16;Beşiktaş İstanbul JK;Turkey;1;1;Real Madrid CF;Spain
28/11/1958;1958/1959;Round 16;Dukla Praha;Czech Republic;1;0;Wiener Sport-Club;Austria
28/11/1958;1958/1959;Round 16;BSC Young Boys;Switzerland;4;1;MTK;Hungary
28/11/1958;1958/1959;Round 16;CDNA Sofia;Bulgaria;1;0;Atletico Madrid;Spain
03/12/1958;1958/1959;Round 16;HPS Helsinki;Finland;0;3;Stade Reims;France
04/02/1959;1958/1959;Quarterfinals;Standard Liege;Belgium;2;0;Stade Reims;France
04/03/1959;1958/1959;Quarterfinals;Wiener Sport-Club;Austria;0;0;Real Madrid CF;Spain
04/03/1959;1958/1959;Quarterfinals;Atletico Madrid;Spain;3;0;FC Schalke 04;Germany
11/03/1959;1958/1959;Quarterfinals;BSC Young Boys;Switzerland;2;2;SC Wismut Karl-Marx-Stadt;Germany
18/03/1959;1958/1959;Quarterfinals;SC Wismut Karl-Marx-Stadt;Germany;0;0;BSC Young Boys;Switzerland
18/03/1959;1958/1959;Quarterfinals;FC Schalke 04;Germany;1;1;Atletico Madrid;Spain
18/03/1959;1958/1959;Quarterfinals;Stade Reims;France;3;0;Standard Liege;Belgium
18/03/1959;1958/1959;Quarterfinals;Real Madrid CF;Spain;7;1;Wiener Sport-Club;Austria
13/04/1959;1958/1959;Semifinals;BSC Young Boys;Switzerland;1;0;Stade Reims;France
23/04/1959;1958/1959;Semifinals;Real Madrid CF;Spain;2;1;Atletico Madrid;Spain
07/05/1959;1958/1959;Semifinals;Atletico Madrid;Spain;1;0;Real Madrid CF;Spain
13/05/1959;1958/1959;Semifinals;Stade Reims;France;3;0;BSC Young Boys;Switzerland
01/10/1958;1958/1959;Round 1;FC Schalke 04;Germany;3;1;KB Kobenhavn;Denmark
12/10/1958;1958/1959;Round 1;SC Wismut Karl-Marx-Stadt;Germany;4;0;Petrolul Ploiesti;Romania
15/10/1958;1958/1959;Round 1;IFK Goteborg;Sweden;5;1;Jeunesse Esch;Luxembourg
18/12/1958;1958/1959;Round 16;Atletico Madrid;Spain;1;1;CDNA Sofia;Bulgaria
01/04/1959;1958/1959;Quarterfinals;BSC Young Boys;Switzerland;2;1;SC Wismut Karl-Marx-Stadt;Germany
13/05/1959;1958/1959;Semifinals;Real Madrid CF;Spain;2;1;Atletico Madrid;Spain
03/06/1959;1958/1959;Final;Real Madrid CF;Spain;2;0;Stade Reims;France
